ID	LONGITUDE	LATITUDE	STREET	SUBURB	RESTRICTIONS	RESTRICTED_DAYS_AND_TIMES
967	153.008729	-27.47937504	HORAN STREET	WEST END	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
968	152.9514501	-27.44950469	PAYNE ROAD	THE GAP	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
969	152.9907155	-27.40677786	SOUTH PINE ROAD	EVERTON PARK	Loading Zone	 ALL OTHER TIMES  -  
970	153.1854846	-27.45832745	OCEANA TERRACE	MANLY	Loading Zone Passengers 2 Min. Max	 7am -  9am  SCHOOLDAYS 2 00PM -  4 00PM
971	153.0382653	-27.46071585	ARTHUR STREET	FORTITUDE VALLEY	Loading Zone	 9am -  4pm MON-FRI
972	153.0348165	-27.48645782	STANLEY STREET	WOOLLOONGABBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm 
973	153.1777415	-27.45824237	MANLY ROAD	MANLY	Loading Zone Passengers 2 Min. Max	
974	153.0307457	-27.45933029	BARRY PARADE	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
975	153.0350569	-27.48299775	ANGLESEY STREET	KANGAROO POINT	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI
976	153.0649589	-27.45949936	COLLINGS STREET	BALMORAL	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
977	153.0614741	-27.35674823	NORTHUMBRIA ROAD	BOONDALL	Loading Zone Passengers 2 Min. Max	
978	153.0146861	-27.42892658	PRIMROSE STREET	GRANGE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
979	153.0276188	-27.46507046	ANN STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	 11am -  2pm MON-FRI 7am -  12noon SAT
980	153.0474454	-27.52296881	ORFORD STREET	TARRAGINDI	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
981	152.9842424	-27.50760723	HARTS ROAD	INDOOROOPILLY	Loading Zone Passengers 2 Min. Max	 7am -  9am  2 -  4pm SCHOOLDAYS
